ticker,name
000270.KS,기아
000660.KS,SK하이닉스
005380.KS,현대차
005930.KS,삼성전자
005935.KS,삼성전자우
006800.KS,미래에셋증권
012330.KS,현대모비스
012450.KS,한화에어로스페이스
028260.KS,삼성물산
032830.KS,삼성생명
034020.KS,두산에너빌리티
035420.KS,NAVER
042660.KS,한화오션
055550.KS,신한지주
068270.KS,셀트리온
105560.KS,KB금융
207940.KS,삼성바이오로직스
329180.KS,HD현대중공업
373220.KS,LG에너지솔루션
402340.KS,SK스퀘어
000810.KS,삼성화재
005490.KS,POSCO홀딩스
006400.KS,삼성SDI
009150.KS,삼성전기
009540.KS,HD한국조선해양
010120.KS,LS ELECTRIC
010130.KS,고려아연
010140.KS,삼성중공업
011200.KS,HMM
015760.KS,한국전력
034730.KS,SK
035720.KS,카카오
042700.KS,한미반도체
051910.KS,LG화학
086790.KS,하나금융지주
267250.KS,HD현대
267260.KS,HD현대일렉트릭
272210.KS,한화시스템
298040.KS,효성중공업
316140.KS,우리금융지주
000150.KS,두산
000720.KS,현대건설
003550.KS,LG
003670.KS,포스코퓨처엠
0126Z0.KS,
017670.KS,SK텔레콤
024110.KS,기업은행
030200.KS,KT
033780.KS,KT&G
047050.KS,포스코인터내셔널
047810.KS,한국항공우주
064350.KS,현대로템
066570.KS,LG전자
071050.KS,한국금융지주
079550.KS,LIG디펜스앤에어로스페이스
086280.KS,현대글로비스
096770.KS,SK이노베이션
138040.KS,메리츠금융지주
278470.KS,에이피알
352820.KS,하이브
000880.KS,한화
003230.KS,삼양식품
003490.KS,대한항공
005387.KS,현대차2우B
005830.KS,DB손해보험
005940.KS,NH투자증권
006260.KS,LS
007660.KS,이수페타시스
009830.KS,한화솔루션
010950.KS,S-Oil
016360.KS,삼성증권
018260.KS,삼성에스디에스
039490.KS,키움증권
090430.KS,아모레퍼시픽
180640.KS,한진칼
259960.KS,크래프톤
307950.KS,현대오토에버
323410.KS,카카오뱅크
377300.KS,카카오페이
443060.KS,HD현대마린솔루션
000100.KS,유한양행
001040.KS,CJ
005385.KS,현대차우
011070.KS,LG이노텍
028050.KS,삼성E&A
029780.KS,삼성카드
032640.KS,LG유플러스
034220.KS,LG디스플레이
047040.KS,대우건설
052690.KS,한전기술
064400.KS,LG씨엔에스
078930.KS,GS
128940.KS,한미약품
138930.KS,BNK금융지주
161390.KS,한국타이어앤테크놀로지
175330.KS,JB금융지주
241560.KS,두산밥캣
267270.KS,HD건설기계
326030.KS,SK바이오팜
454910.KS,두산로보틱스
001440.KS,대한전선
002380.KS,KCC
004020.KS,현대제철
018880.KS,한온시스템
021240.KS,코웨이
022100.KS,포스코DX
035250.KS,강원랜드
036570.KS,NC
051900.KS,LG생활건강
062040.KS,산일전기
066970.KS,엘앤에프
082740.KS,한화엔진
088350.KS,한화생명
088980.KS,맥쿼리인프라
103590.KS,일진전기
251270.KS,넷마블
271560.KS,오리온
353200.KS,대덕전자
450080.KS,에코프로머티
489790.KS,한화비전
000990.KS,DB하이텍
001720.KS,신영증권
004170.KS,신세계
004990.KS,롯데지주
009970.KS,영원무역홀딩스
010060.KS,OCI홀딩스
011170.KS,롯데케미칼
011780.KS,금호석유화학
011790.KS,SKC
012510.KS,더존비즈온
012750.KS,에스원
014680.KS,한솔케미칼
017800.KS,현대엘리베이터
023530.KS,롯데쇼핑
031210.KS,서울보증보험
036460.KS,한국가스공사
097950.KS,CJ제일제당
111770.KS,영원무역
302440.KS,SK바이오사이언스
439260.KS,대한조선
000120.KS,CJ대한통운
001450.KS,현대해상
005850.KS,에스엘
006360.KS,GS건설
00680K.KS,
008930.KS,한미사이언스
009420.KS,한올바이오파마
026960.KS,동서
028670.KS,팬오션
051600.KS,한전KPS
071970.KS,HD현대마린엔진
085620.KS,미래에셋생명
103140.KS,풍산
112610.KS,씨에스윈드
